"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.19367,-0.087349,0,0.85039,1,0.599,0.599,0.5,0
-0.19344,-0.088189,0,0.85567,1,0.6,0.6,0.5,0
-0.19319,-0.089011,0,0.86087,1,0.601,0.601,0.5,0
-0.19294,-0.089833,0,0.86607,1,0.602,0.602,0.5,0
-0.19269,-0.090655,0,0.87128,1,0.603,0.603,0.5,0
-0.19244,-0.091477,0,0.87648,1,0.604,0.604,0.5,0
-0.19219,-0.0923,0,0.88168,1,0.605,0.605,0.5,0
-0.19194,-0.093122,0,0.88689,1,0.606,0.606,0.5,0
-0.1917,-0.093944,0,0.89209,1,0.607,0.607,0.5,0
-0.19145,-0.094766,0,0.89729,1,0.608,0.608,0.5,0
-0.1912,-0.095588,0,0.9025,1,0.609,0.609,0.5,0
-0.19095,-0.09641,0,0.9077,1,0.61,0.61,0.5,0
-0.19067,-0.097212,0,0.91281,1,0.611,0.611,0.5,0
-0.1904,-0.098014,0,0.91793,1,0.612,0.612,0.5,0
-0.19012,-0.098816,0,0.92304,1,0.613,0.613,0.5,0
-0.18985,-0.099618,0,0.92816,1,0.614,0.614,0.5,0
-0.18957,-0.10042,0,0.93327,1,0.615,0.615,0.5,0
-0.1893,-0.10122,0,0.93839,1,0.616,0.616,0.5,0
-0.18902,-0.10202,0,0.9435,1,0.617,0.617,0.5,0
-0.18875,-0.10283,0,0.94861,1,0.618,0.618,0.5,0
-0.18848,-0.10363,0,0.95373,1,0.619,0.619,0.5,0
-0.1882,-0.10443,0,0.95884,1,0.62,0.62,0.5,0
-0.1879,-0.10521,0,0.96386,1,0.621,0.621,0.5,0
-0.1876,-0.10599,0,0.96887,1,0.622,0.622,0.5,0
-0.1873,-0.10677,0,0.97389,1,0.623,0.623,0.5,0
-0.187,-0.10755,0,0.9789,1,0.624,0.624,0.5,0
-0.1867,-0.10833,0,0.98392,1,0.625,0.625,0.5,0
-0.1864,-0.10911,0,0.98893,1,0.626,0.626,0.5,0
-0.1861,-0.10989,0,0.99395,1,0.627,0.627,0.5,0
-0.1858,-0.11067,0,0.99896,1,0.628,0.628,0.5,0
-0.1855,-0.11145,0,1.004,1,0.629,0.629,0.5,0
-0.1852,-0.11223,0,1.009,1,0.63,0.63,0.5,0
-0.18488,-0.11298,0,1.0139,1,0.631,0.631,0.5,0
-0.18455,-0.11374,0,1.0188,1,0.632,0.632,0.5,0
-0.18423,-0.11449,0,1.0237,1,0.633,0.633,0.5,0
-0.1839,-0.11525,0,1.0286,1,0.634,0.634,0.5,0
-0.18358,-0.116,0,1.0335,1,0.635,0.635,0.5,0
-0.18325,-0.11675,0,1.0384,1,0.636,0.636,0.5,0
-0.18293,-0.11751,0,1.0433,1,0.637,0.637,0.5,0
-0.1826,-0.11826,0,1.0482,1,0.638,0.638,0.5,0
-0.18228,-0.11902,0,1.0531,1,0.639,0.639,0.5,0
-0.18196,-0.11977,0,1.058,1,0.64,0.64,0.5,0
-0.1816,-0.1205,0,1.0628,1,0.641,0.641,0.5,0
-0.18125,-0.12123,0,1.0676,1,0.642,0.642,0.5,0
-0.1809,-0.12196,0,1.0724,1,0.643,0.643,0.5,0
-0.18055,-0.12269,0,1.0772,1,0.644,0.644,0.5,0
-0.1802,-0.12341,0,1.0819,1,0.645,0.645,0.5,0
-0.17985,-0.12414,0,1.0867,1,0.646,0.646,0.5,0
-0.1795,-0.12487,0,1.0915,1,0.647,0.647,0.5,0
-0.17915,-0.1256,0,1.0963,1,0.648,0.648,0.5,0
-0.1788,-0.12632,0,1.1011,1,0.649,0.649,0.5,0
-0.17845,-0.12705,0,1.1058,1,0.65,0.65,0.5,0
-0.17808,-0.12775,0,1.1105,1,0.651,0.651,0.5,0
-0.1777,-0.12845,0,1.1151,1,0.652,0.652,0.5,0
-0.17733,-0.12915,0,1.1198,1,0.653,0.653,0.5,0
-0.17695,-0.12984,0,1.1244,1,0.654,0.654,0.5,0
-0.17658,-0.13054,0,1.1291,1,0.655,0.655,0.5,0
-0.1762,-0.13124,0,1.1337,1,0.656,0.656,0.5,0
-0.17583,-0.13194,0,1.1384,1,0.657,0.657,0.5,0
-0.17545,-0.13264,0,1.143,1,0.658,0.658,0.5,0
-0.17508,-0.13333,0,1.1477,1,0.659,0.659,0.5,0
-0.1747,-0.13403,0,1.1523,1,0.66,0.66,0.5,0
-0.1743,-0.1347,0,1.1568,1,0.661,0.661,0.5,0
-0.1739,-0.13536,0,1.1613,1,0.662,0.662,0.5,0
-0.1735,-0.13603,0,1.1658,1,0.663,0.663,0.5,0
-0.1731,-0.13669,0,1.1703,1,0.664,0.664,0.5,0
-0.1727,-0.13736,0,1.1748,1,0.665,0.665,0.5,0
-0.1723,-0.13803,0,1.1793,1,0.666,0.666,0.5,0
-0.1719,-0.13869,0,1.1838,1,0.667,0.667,0.5,0
-0.1715,-0.13936,0,1.1883,1,0.668,0.668,0.5,0
-0.1711,-0.14002,0,1.1928,1,0.669,0.669,0.5,0
-0.1707,-0.14069,0,1.1973,1,0.67,0.67,0.5,0
