"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.27084,0.00095401,0,0.24061,1,0.854,0.5,0.854,0
0.27469,0.00094448,0,0.24072,1,0.855,0.5,0.855,0
0.27854,0.00093494,0,0.24083,1,0.856,0.5,0.856,0
0.28239,0.00092541,0,0.24094,1,0.857,0.5,0.857,0
0.28625,0.00091588,0,0.24105,1,0.858,0.5,0.858,0
0.2901,0.00090635,0,0.24116,1,0.859,0.5,0.859,0
0.29395,0.00089681,0,0.24128,1,0.86,0.5,0.86,0
0.29799,0.00088706,0,0.24141,1,0.861,0.5,0.861,0
0.30202,0.0008773,0,0.24154,1,0.862,0.5,0.862,0
0.30605,0.00086754,0,0.24167,1,0.863,0.5,0.863,0
0.31008,0.00085779,0,0.2418,1,0.864,0.5,0.864,0
0.31412,0.00084803,0,0.24193,1,0.865,0.5,0.865,0
0.31815,0.00083827,0,0.24206,1,0.866,0.5,0.866,0
0.32218,0.00082852,0,0.2422,1,0.867,0.5,0.867,0
0.32621,0.00081876,0,0.24233,1,0.868,0.5,0.868,0
0.33025,0.000809,0,0.24246,1,0.869,0.5,0.869,0
0.33428,0.00079925,0,0.24259,1,0.87,0.5,0.87,0
0.33849,0.00078942,0,0.24274,1,0.871,0.5,0.871,0
0.3427,0.00077959,0,0.24289,1,0.872,0.5,0.872,0
0.34691,0.00076976,0,0.24304,1,0.873,0.5,0.873,0
0.35112,0.00075993,0,0.24319,1,0.874,0.5,0.874,0
0.35534,0.0007501,0,0.24334,1,0.875,0.5,0.875,0
0.35955,0.00074026,0,0.24348,1,0.876,0.5,0.876,0
0.36376,0.00073043,0,0.24363,1,0.877,0.5,0.877,0
0.36797,0.0007206,0,0.24378,1,0.878,0.5,0.878,0
0.37218,0.00071077,0,0.24393,1,0.879,0.5,0.879,0
0.37639,0.00070094,0,0.24408,1,0.88,0.5,0.88,0
0.38078,0.0006912,0,0.24425,1,0.881,0.5,0.881,0
0.38516,0.00068145,0,0.24441,1,0.882,0.5,0.882,0
0.38955,0.00067171,0,0.24457,1,0.883,0.5,0.883,0
0.39394,0.00066196,0,0.24474,1,0.884,0.5,0.884,0
0.39832,0.00065221,0,0.2449,1,0.885,0.5,0.885,0
0.40271,0.00064247,0,0.24506,1,0.886,0.5,0.886,0
0.40709,0.00063272,0,0.24523,1,0.887,0.5,0.887,0
0.41148,0.00062298,0,0.24539,1,0.888,0.5,0.888,0
0.41587,0.00061323,0,0.24556,1,0.889,0.5,0.889,0
0.42025,0.00060349,0,0.24572,1,0.89,0.5,0.89,0
0.42481,0.00059399,0,0.24589,1,0.891,0.5,0.891,0
0.42937,0.0005845,0,0.24607,1,0.892,0.5,0.892,0
0.43393,0.000575,0,0.24624,1,0.893,0.5,0.893,0
0.43848,0.00056551,0,0.24642,1,0.894,0.5,0.894,0
0.44304,0.00055601,0,0.2466,1,0.895,0.5,0.895,0
0.4476,0.00054651,0,0.24677,1,0.896,0.5,0.896,0
0.45216,0.00053702,0,0.24695,1,0.897,0.5,0.897,0
0.45671,0.00052752,0,0.24712,1,0.898,0.5,0.898,0
0.46127,0.00051803,0,0.2473,1,0.899,0.5,0.899,0
0.46583,0.00050853,0,0.24747,1,0.9,0.5,0.9,0
0.47055,0.00049945,0,0.24765,1,0.901,0.5,0.901,0
0.47528,0.00049038,0,0.24784,1,0.902,0.5,0.902,0
0.48,0.0004813,0,0.24802,1,0.903,0.5,0.903,0
0.48473,0.00047222,0,0.2482,1,0.904,0.5,0.904,0
0.48945,0.00046315,0,0.24838,1,0.905,0.5,0.905,0
0.49417,0.00045407,0,0.24857,1,0.906,0.5,0.906,0
0.4989,0.00044499,0,0.24875,1,0.907,0.5,0.907,0
0.50362,0.00043591,0,0.24893,1,0.908,0.5,0.908,0
0.50835,0.00042684,0,0.24912,1,0.909,0.5,0.909,0
0.51307,0.00041776,0,0.2493,1,0.91,0.5,0.91,0
0.51796,0.00040926,0,0.24948,1,0.911,0.5,0.911,0
0.52284,0.00040077,0,0.24967,1,0.912,0.5,0.912,0
0.52772,0.00039227,0,0.24986,1,0.913,0.5,0.913,0
0.53261,0.00038378,0,0.25004,1,0.914,0.5,0.914,0
0.53749,0.00037528,0,0.25023,1,0.915,0.5,0.915,0
0.54238,0.00036679,0,0.25042,1,0.916,0.5,0.916,0
0.54726,0.00035829,0,0.2506,1,0.917,0.5,0.917,0
0.55215,0.0003498,0,0.25079,1,0.918,0.5,0.918,0
0.55703,0.0003413,0,0.25098,1,0.919,0.5,0.919,0
0.56192,0.00033281,0,0.25116,1,0.92,0.5,0.92,0
0.56695,0.00032505,0,0.25135,1,0.921,0.5,0.921,0
0.57199,0.00031729,0,0.25154,1,0.922,0.5,0.922,0
0.57703,0.00030953,0,0.25172,1,0.923,0.5,0.923,0
0.58207,0.00030178,0,0.25191,1,0.924,0.5,0.924,0
0.58711,0.00029402,0,0.2521,1,0.925,0.5,0.925,0
0.59214,0.00028626,0,0.25228,1,0.926,0.5,0.926,0
0.59718,0.00027851,0,0.25247,1,0.927,0.5,0.927,0
0.60222,0.00027075,0,0.25265,1,0.928,0.5,0.928,0
0.60726,0.00026299,0,0.25284,1,0.929,0.5,0.929,0
0.6123,0.00025523,0,0.25303,1,0.93,0.5,0.93,0
0.61748,0.00024836,0,0.25321,1,0.931,0.5,0.931,0
0.62266,0.00024148,0,0.25339,1,0.932,0.5,0.932,0
0.62785,0.0002346,0,0.25358,1,0.933,0.5,0.933,0
0.63303,0.00022772,0,0.25376,1,0.934,0.5,0.934,0
0.63821,0.00022084,0,0.25394,1,0.935,0.5,0.935,0
0.6434,0.00021396,0,0.25412,1,0.936,0.5,0.936,0
0.64858,0.00020709,0,0.25431,1,0.937,0.5,0.937,0
